sourceRefs	grade/level	toolId	title	category	topic	formula	supportedSolveTargets	calculationMethod	exactness	offlinePolicy	status	boundaryNotes
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-newton-second	Newton's Second Law	Grade 10 Physics	Dynamics	F=m*a	F,a,m	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-orbital-speed	Circular Orbital Speed	Grade 10 Physics	Gravitation	v=sqrt(G*M/r)	M,r,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-projectile-height	Projectile Maximum Height	Grade 10 Physics	Projectile motion	H=v0^2*sin(theta)^2/(2*g)	H,g,v0	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-projectile-range	Projectile Range	Grade 10 Physics	Projectile motion	R=v0^2*sin(2*theta)/g	R,g,theta,v0	EXACT_CLOSED_FORM	EXACT_AND_NUMERIC	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-spring-energy	Elastic Potential Energy	Grade 10 Physics	Elasticity	U=k*x^2/2	U,k,x	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G10_OFFICIAL_TEXTBOOK_INDEX|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	10	physics-g10-v4-angular-momentum	Angular Momentum	Grade 10 Physics	Rotation	L = I*omega	I,L,omega	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G10_OFFICIAL_TEXTBOOK_INDEX|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	10	physics-g10-v4-angular-power	Rotational Power	Grade 10 Physics	Rotation	P = tau*omega	P,omega,tau	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G10_OFFICIAL_TEXTBOOK_INDEX|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	10	physics-g10-v4-angular-speed	Tangential and Angular Speed	Grade 10 Physics	Rotation	v = omega*r	omega,r,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G10_OFFICIAL_TEXTBOOK_INDEX|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	10	physics-g10-v4-rotational-ke	Rotational Kinetic Energy	Grade 10 Physics	Rotation	K = I*omega^2/2	I,K,omega	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G10_OFFICIAL_TEXTBOOK_INDEX|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	10	physics-g10-v4-rotational-torque	Rotational Dynamics	Grade 10 Physics	Rotation	tau = I*alpha	I,alpha,tau	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	10	physics-g10-weight	Weight	Grade 10 Physics	Dynamics	W=m*g	W,g,m	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
