id	requirement	status	test/evidence	exactSHA	limitations
AC-13	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-14	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-15	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-16	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-17	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-18	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-19	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-20	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-21	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-22	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-23	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-24	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-25	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-26	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-27	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-28	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-29	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-30	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-31	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-32	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-33	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-34	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-35	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-36	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-37	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-38	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-39	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-40	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-41	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-42	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-43	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-44	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-45	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-46	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-47	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-48	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-49	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-50	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-51	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-52	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-53	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-54	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-55	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-56	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-57	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-58	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-59	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-60	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-61	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-62	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-63	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-64	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-65	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-66	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-67	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-68	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-69	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-70	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-71	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-72	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-73	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-74	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-75	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-76	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-77	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-78	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-79	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-80	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-81	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-82	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-83	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-84	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-85	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-86	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-87	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-88	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-89	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-90	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-91	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-92	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-93	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-94	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-95	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-96	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-97	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-98	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-99	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-100	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-101	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-102	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-103	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-104	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-105	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-106	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-107	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-108	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-109	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
AC-110	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-01	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-02	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-03	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-04	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-05	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-06	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-07	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-08	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-09	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-10	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-11	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-12	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-13	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-14	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-15	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-16	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-17	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-18	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-19	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-20	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-21	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-22	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-23	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-24	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
NAV-25	Exact original requirement wording unavailable in indexed continuation sources; requirement text must not be invented.	NOT VERIFIED	Original 2,237-line V4 mission required for exact mapping		ID preserved; no fabricated PASS.
